libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 45.31%; accuracy_at_5 = 78.12%; loss = 2.104358 
Iteration   530: accuracy_at_1 = 46.88%; accuracy_at_5 = 79.69%; loss = 1.894674  (1.404696 s/it)
Iteration   540: accuracy_at_1 = 29.69%; accuracy_at_5 = 57.81%; loss = 2.775946  (1.404904 s/it)
Iteration   550: accuracy_at_1 = 45.31%; accuracy_at_5 = 70.31%; loss = 2.171207  (1.404248 s/it)
Iteration   560: accuracy_at_1 = 45.31%; accuracy_at_5 = 81.25%; loss = 1.859263  (1.404349 s/it)
Iteration   570: accuracy_at_1 = 43.75%; accuracy_at_5 = 70.31%; loss = 2.205453  (1.405298 s/it)
Iteration   580: accuracy_at_1 = 37.50%; accuracy_at_5 = 76.56%; loss = 2.071939  (1.404773 s/it)
Iteration   590: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 2.011639  (1.404510 s/it)
Iteration   600: accuracy_at_1 = 34.38%; accuracy_at_5 = 73.44%; loss = 2.296002  (1.406344 s/it)
Iteration   610: accuracy_at_1 = 39.06%; accuracy_at_5 = 78.12%; loss = 2.229753  (1.404660 s/it)
Iteration   620: accuracy_at_1 = 54.69%; accuracy_at_5 = 78.12%; loss = 1.926154  (1.404016 s/it)
Iteration   630: accuracy_at_1 = 35.94%; accuracy_at_5 = 67.19%; loss = 2.564964  (1.405269 s/it)
Iteration   640: accuracy_at_1 = 42.19%; accuracy_at_5 = 78.12%; loss = 1.852297  (1.404739 s/it)
Iteration   650: accuracy_at_1 = 31.25%; accuracy_at_5 = 64.06%; loss = 2.676258  (1.404636 s/it)
Iteration   660: accuracy_at_1 = 43.75%; accuracy_at_5 = 75.00%; loss = 2.066155  (1.406041 s/it)
Iteration   670: accuracy_at_1 = 32.81%; accuracy_at_5 = 68.75%; loss = 2.444718  (1.405886 s/it)
Iteration   680: accuracy_at_1 = 37.50%; accuracy_at_5 = 68.75%; loss = 2.280769  (1.404190 s/it)
Iteration   690: accuracy_at_1 = 40.62%; accuracy_at_5 = 62.50%; loss = 2.410170  (1.404814 s/it)
Iteration   700: accuracy_at_1 = 51.56%; accuracy_at_5 = 78.12%; loss = 2.028096  (1.405257 s/it)
Iteration   710: accuracy_at_1 = 42.19%; accuracy_at_5 = 73.44%; loss = 2.180228  (1.404857 s/it)
Iteration   720: accuracy_at_1 = 37.50%; accuracy_at_5 = 75.00%; loss = 2.314487  (1.403973 s/it)
Iteration   730: accuracy_at_1 = 40.62%; accuracy_at_5 = 75.00%; loss = 2.283768  (1.404601 s/it)
Iteration   740: accuracy_at_1 = 26.56%; accuracy_at_5 = 73.44%; loss = 2.564921  (1.405702 s/it)
Iteration   750: accuracy_at_1 = 32.81%; accuracy_at_5 = 73.44%; loss = 2.574697  (1.404380 s/it)
Iteration   760: accuracy_at_1 = 48.44%; accuracy_at_5 = 79.69%; loss = 1.948415  (1.405047 s/it)
Iteration   770: accuracy_at_1 = 39.06%; accuracy_at_5 = 70.31%; loss = 2.201807  (1.405248 s/it)
Iteration   780: accuracy_at_1 = 42.19%; accuracy_at_5 = 76.56%; loss = 2.016512  (1.406414 s/it)
Iteration   790: accuracy_at_1 = 39.06%; accuracy_at_5 = 65.62%; loss = 2.662961  (1.404696 s/it)
Iteration   800: accuracy_at_1 = 46.88%; accuracy_at_5 = 68.75%; loss = 2.094667  (1.406503 s/it)
Iteration   810: accuracy_at_1 = 45.31%; accuracy_at_5 = 75.00%; loss = 2.122880  (1.405229 s/it)
Iteration   820: accuracy_at_1 = 46.88%; accuracy_at_5 = 76.56%; loss = 2.016070  (1.405079 s/it)
Iteration   830: accuracy_at_1 = 50.00%; accuracy_at_5 = 84.38%; loss = 1.856378  (1.404827 s/it)
Iteration   840: accuracy_at_1 = 40.62%; accuracy_at_5 = 78.12%; loss = 2.076657  (1.404553 s/it)
Iteration   850: accuracy_at_1 = 42.19%; accuracy_at_5 = 73.44%; loss = 2.072927  (1.404611 s/it)
Iteration   860: accuracy_at_1 = 46.88%; accuracy_at_5 = 76.56%; loss = 1.868054  (1.404329 s/it)
Iteration   870: accuracy_at_1 = 42.19%; accuracy_at_5 = 67.19%; loss = 2.331375  (1.404778 s/it)
Iteration   880: accuracy_at_1 = 45.31%; accuracy_at_5 = 78.12%; loss = 2.117008  (1.404667 s/it)
Iteration   890: accuracy_at_1 = 43.75%; accuracy_at_5 = 75.00%; loss = 1.987024  (1.405377 s/it)
Iteration   900: accuracy_at_1 = 54.69%; accuracy_at_5 = 81.25%; loss = 1.554995  (1.405668 s/it)
Iteration   910: accuracy_at_1 = 40.62%; accuracy_at_5 = 73.44%; loss = 2.217423  (1.404727 s/it)
Iteration   920: accuracy_at_1 = 48.44%; accuracy_at_5 = 78.12%; loss = 1.909086  (1.405253 s/it)
Iteration   930: accuracy_at_1 = 39.06%; accuracy_at_5 = 67.19%; loss = 2.293281  (1.405532 s/it)
Iteration   940: accuracy_at_1 = 46.88%; accuracy_at_5 = 73.44%; loss = 2.116909  (1.404305 s/it)
Iteration   950: accuracy_at_1 = 35.94%; accuracy_at_5 = 70.31%; loss = 2.404948  (1.404846 s/it)
Iteration   960: accuracy_at_1 = 35.94%; accuracy_at_5 = 73.44%; loss = 2.173432  (1.404953 s/it)
Iteration   970: accuracy_at_1 = 39.06%; accuracy_at_5 = 71.88%; loss = 2.406376  (1.405472 s/it)
Iteration   980: accuracy_at_1 = 51.56%; accuracy_at_5 = 79.69%; loss = 1.820271  (1.406312 s/it)
Iteration   990: accuracy_at_1 = 50.00%; accuracy_at_5 = 71.88%; loss = 2.033617  (1.405693 s/it)
Iteration  1000: accuracy_at_1 = 35.94%; accuracy_at_5 = 79.69%; loss = 2.085136  (1.403890 s/it)
Iteration  1010: accuracy_at_1 = 50.00%; accuracy_at_5 = 82.81%; loss = 1.715514  (1.404939 s/it)
Iteration  1020: accuracy_at_1 = 37.50%; accuracy_at_5 = 75.00%; loss = 2.179827  (1.405336 s/it)
Iteration  1030: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 1.908238  (1.404520 s/it)
Iteration  1040: accuracy_at_1 = 48.44%; accuracy_at_5 = 75.00%; loss = 2.074668  (1.404065 s/it)
Iteration  1050: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 2.098821  (1.405020 s/it)
Iteration  1060: accuracy_at_1 = 39.06%; accuracy_at_5 = 68.75%; loss = 2.345265  (1.404582 s/it)
Iteration  1070: accuracy_at_1 = 37.50%; accuracy_at_5 = 76.56%; loss = 2.228892  (1.404831 s/it)
Iteration  1080: accuracy_at_1 = 32.81%; accuracy_at_5 = 79.69%; loss = 2.231291  (1.405278 s/it)
Iteration  1090: accuracy_at_1 = 46.88%; accuracy_at_5 = 76.56%; loss = 2.059200  (1.406025 s/it)
Iteration  1100: accuracy_at_1 = 53.12%; accuracy_at_5 = 76.56%; loss = 1.907800  (1.405377 s/it)
Iteration  1110: accuracy_at_1 = 45.31%; accuracy_at_5 = 75.00%; loss = 2.027287  (1.404798 s/it)
Iteration  1120: accuracy_at_1 = 39.06%; accuracy_at_5 = 70.31%; loss = 2.180126  (1.405908 s/it)
Iteration  1130: accuracy_at_1 = 34.38%; accuracy_at_5 = 70.31%; loss = 2.134262  (1.404016 s/it)
Iteration  1140: accuracy_at_1 = 45.31%; accuracy_at_5 = 73.44%; loss = 2.015641  (1.405455 s/it)
Iteration  1150: accuracy_at_1 = 51.56%; accuracy_at_5 = 78.12%; loss = 1.935648  (1.406711 s/it)
Iteration  1160: accuracy_at_1 = 35.94%; accuracy_at_5 = 62.50%; loss = 2.582511  (1.404166 s/it)
Iteration  1170: accuracy_at_1 = 39.06%; accuracy_at_5 = 73.44%; loss = 2.013356  (1.405024 s/it)
Iteration  1180: accuracy_at_1 = 42.19%; accuracy_at_5 = 64.06%; loss = 2.176931  (1.406389 s/it)
Iteration  1190: accuracy_at_1 = 37.50%; accuracy_at_5 = 79.69%; loss = 1.918904  (1.405926 s/it)
Iteration  1200: accuracy_at_1 = 37.50%; accuracy_at_5 = 71.88%; loss = 2.263473  (1.405869 s/it)
Iteration  1210: accuracy_at_1 = 43.75%; accuracy_at_5 = 76.56%; loss = 2.117800  (1.405597 s/it)
Iteration  1220: accuracy_at_1 = 39.06%; accuracy_at_5 = 76.56%; loss = 1.894235  (1.404289 s/it)
Iteration  1230: accuracy_at_1 = 48.44%; accuracy_at_5 = 78.12%; loss = 1.945456  (1.404534 s/it)
Iteration  1240: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 1.865510  (1.404834 s/it)
Iteration  1250: accuracy_at_1 = 29.69%; accuracy_at_5 = 70.31%; loss = 2.348897  (1.404750 s/it)
Iteration  1260: accuracy_at_1 = 45.31%; accuracy_at_5 = 68.75%; loss = 2.208223  (1.405124 s/it)
Iteration  1270: accuracy_at_1 = 32.81%; accuracy_at_5 = 64.06%; loss = 2.682096  (1.405193 s/it)
Iteration  1280: accuracy_at_1 = 42.19%; accuracy_at_5 = 76.56%; loss = 1.968920  (1.406787 s/it)
Iteration  1290: accuracy_at_1 = 48.44%; accuracy_at_5 = 71.88%; loss = 2.037053  (1.405273 s/it)
Iteration  1300: accuracy_at_1 = 40.62%; accuracy_at_5 = 68.75%; loss = 2.305777  (1.404640 s/it)
Iteration  1310: accuracy_at_1 = 56.25%; accuracy_at_5 = 81.25%; loss = 1.691558  (1.405238 s/it)
Iteration  1320: accuracy_at_1 = 42.19%; accuracy_at_5 = 70.31%; loss = 2.188715  (1.404699 s/it)
Iteration  1330: accuracy_at_1 = 43.75%; accuracy_at_5 = 75.00%; loss = 2.372093  (1.404414 s/it)
Iteration  1340: accuracy_at_1 = 39.06%; accuracy_at_5 = 67.19%; loss = 2.246371  (1.405056 s/it)
Iteration  1350: accuracy_at_1 = 45.31%; accuracy_at_5 = 75.00%; loss = 1.979680  (1.404895 s/it)
Iteration  1360: accuracy_at_1 = 40.62%; accuracy_at_5 = 67.19%; loss = 2.334978  (1.404892 s/it)
Iteration  1370: accuracy_at_1 = 48.44%; accuracy_at_5 = 78.12%; loss = 2.049500  (1.406103 s/it)
Iteration  1380: accuracy_at_1 = 32.81%; accuracy_at_5 = 70.31%; loss = 2.456485  (1.406246 s/it)
Iteration  1390: accuracy_at_1 = 32.81%; accuracy_at_5 = 65.62%; loss = 2.513488  (1.404448 s/it)
Iteration  1400: accuracy_at_1 = 42.19%; accuracy_at_5 = 76.56%; loss = 2.122218  (1.406770 s/it)
Iteration  1410: accuracy_at_1 = 43.75%; accuracy_at_5 = 71.88%; loss = 2.187045  (1.404985 s/it)
Iteration  1420: accuracy_at_1 = 39.06%; accuracy_at_5 = 73.44%; loss = 2.246379  (1.404341 s/it)
Iteration  1430: accuracy_at_1 = 51.56%; accuracy_at_5 = 82.81%; loss = 1.762160  (1.405281 s/it)
Iteration  1440: accuracy_at_1 = 54.69%; accuracy_at_5 = 82.81%; loss = 1.687850  (1.405664 s/it)
Iteration  1450: accuracy_at_1 = 39.06%; accuracy_at_5 = 78.12%; loss = 1.991694  (1.405547 s/it)
Iteration  1460: accuracy_at_1 = 46.88%; accuracy_at_5 = 75.00%; loss = 2.042675  (1.404877 s/it)
Iteration  1470: accuracy_at_1 = 45.31%; accuracy_at_5 = 73.44%; loss = 2.065350  (1.405986 s/it)
Iteration  1480: accuracy_at_1 = 43.75%; accuracy_at_5 = 75.00%; loss = 2.058675  (1.405881 s/it)
Iteration  1490: accuracy_at_1 = 31.25%; accuracy_at_5 = 79.69%; loss = 2.248168  (1.405382 s/it)
Iteration  1500: accuracy_at_1 = 45.31%; accuracy_at_5 = 68.75%; loss = 2.149148  (1.405274 s/it)
Iteration  1510: accuracy_at_1 = 56.25%; accuracy_at_5 = 85.94%; loss = 1.525584  (1.405026 s/it)
Iteration  1520: accuracy_at_1 = 32.81%; accuracy_at_5 = 76.56%; loss = 2.349675  (1.404637 s/it)
Iteration  1530: accuracy_at_1 = 43.75%; accuracy_at_5 = 76.56%; loss = 2.034808  (1.405481 s/it)
Iteration  1540: accuracy_at_1 = 39.06%; accuracy_at_5 = 70.31%; loss = 2.269252  (1.405784 s/it)
Iteration  1550: accuracy_at_1 = 45.31%; accuracy_at_5 = 75.00%; loss = 2.303388  (1.405382 s/it)
Iteration  1560: accuracy_at_1 = 46.88%; accuracy_at_5 = 70.31%; loss = 2.098244  (1.404834 s/it)
Iteration  1570: accuracy_at_1 = 35.94%; accuracy_at_5 = 67.19%; loss = 2.385208  (1.405988 s/it)
Iteration  1580: accuracy_at_1 = 42.19%; accuracy_at_5 = 73.44%; loss = 2.121492  (1.404055 s/it)
Iteration  1590: accuracy_at_1 = 42.19%; accuracy_at_5 = 75.00%; loss = 2.381556  (1.405412 s/it)
Iteration  1600: accuracy_at_1 = 43.75%; accuracy_at_5 = 89.06%; loss = 1.776215  (1.405304 s/it)
Iteration  1610: accuracy_at_1 = 43.75%; accuracy_at_5 = 85.94%; loss = 2.011421  (1.404152 s/it)
Iteration  1620: accuracy_at_1 = 35.94%; accuracy_at_5 = 67.19%; loss = 2.378624  (1.405755 s/it)
Iteration  1630: accuracy_at_1 = 37.50%; accuracy_at_5 = 67.19%; loss = 2.430025  (1.404741 s/it)
Iteration  1640: accuracy_at_1 = 43.75%; accuracy_at_5 = 71.88%; loss = 2.123271  (1.404264 s/it)
Iteration  1650: accuracy_at_1 = 37.50%; accuracy_at_5 = 68.75%; loss = 2.346038  (1.404471 s/it)
Iteration  1660: accuracy_at_1 = 46.88%; accuracy_at_5 = 78.12%; loss = 1.939096  (1.406261 s/it)
Iteration  1670: accuracy_at_1 = 53.12%; accuracy_at_5 = 81.25%; loss = 1.735582  (1.403867 s/it)
Iteration  1680: accuracy_at_1 = 53.12%; accuracy_at_5 = 71.88%; loss = 1.929926  (1.405008 s/it)
Iteration  1690: accuracy_at_1 = 45.31%; accuracy_at_5 = 73.44%; loss = 2.211401  (1.404901 s/it)
Iteration  1700: accuracy_at_1 = 39.06%; accuracy_at_5 = 75.00%; loss = 2.183491  (1.405001 s/it)
Iteration  1710: accuracy_at_1 = 57.81%; accuracy_at_5 = 79.69%; loss = 1.828375  (1.403332 s/it)
Iteration  1720: accuracy_at_1 = 48.44%; accuracy_at_5 = 79.69%; loss = 1.951532  (1.404879 s/it)
Iteration  1730: accuracy_at_1 = 35.94%; accuracy_at_5 = 76.56%; loss = 2.243502  (1.405323 s/it)
Iteration  1740: accuracy_at_1 = 31.25%; accuracy_at_5 = 62.50%; loss = 2.482119  (1.404179 s/it)
Iteration  1750: accuracy_at_1 = 50.00%; accuracy_at_5 = 75.00%; loss = 2.003842  (1.404520 s/it)
Iteration  1760: accuracy_at_1 = 39.06%; accuracy_at_5 = 62.50%; loss = 2.617196  (1.404269 s/it)
Iteration  1770: accuracy_at_1 = 45.31%; accuracy_at_5 = 78.12%; loss = 1.861055  (1.403700 s/it)
Iteration  1780: accuracy_at_1 = 43.75%; accuracy_at_5 = 67.19%; loss = 2.198219  (1.405482 s/it)
Iteration  1790: accuracy_at_1 = 50.00%; accuracy_at_5 = 76.56%; loss = 2.031467  (1.405746 s/it)
Iteration  1800: accuracy_at_1 = 40.62%; accuracy_at_5 = 75.00%; loss = 2.146580  (1.404282 s/it)
Iteration  1810: accuracy_at_1 = 43.75%; accuracy_at_5 = 75.00%; loss = 2.110278  (1.404369 s/it)
Iteration  1820: accuracy_at_1 = 46.88%; accuracy_at_5 = 71.88%; loss = 2.247363  (1.404904 s/it)
Iteration  1830: accuracy_at_1 = 40.62%; accuracy_at_5 = 70.31%; loss = 2.146462  (1.403908 s/it)
Iteration  1840: accuracy_at_1 = 48.44%; accuracy_at_5 = 68.75%; loss = 2.107702  (1.404039 s/it)
Iteration  1850: accuracy_at_1 = 43.75%; accuracy_at_5 = 75.00%; loss = 2.079466  (1.406014 s/it)
Iteration  1860: accuracy_at_1 = 46.88%; accuracy_at_5 = 71.88%; loss = 2.172559  (1.404802 s/it)
Iteration  1870: accuracy_at_1 = 35.94%; accuracy_at_5 = 70.31%; loss = 2.445179  (1.404166 s/it)
Iteration  1880: accuracy_at_1 = 42.19%; accuracy_at_5 = 73.44%; loss = 2.142293  (1.405187 s/it)
Iteration  1890: accuracy_at_1 = 45.31%; accuracy_at_5 = 70.31%; loss = 2.174260  (1.404437 s/it)
Iteration  1900: accuracy_at_1 = 42.19%; accuracy_at_5 = 76.56%; loss = 2.166336  (1.404384 s/it)
Iteration  1910: accuracy_at_1 = 35.94%; accuracy_at_5 = 75.00%; loss = 2.262456  (1.404387 s/it)
Iteration  1920: accuracy_at_1 = 51.56%; accuracy_at_5 = 84.38%; loss = 1.841625  (1.404845 s/it)
Iteration  1930: accuracy_at_1 = 53.12%; accuracy_at_5 = 79.69%; loss = 1.864587  (1.403393 s/it)
Iteration  1940: accuracy_at_1 = 45.31%; accuracy_at_5 = 78.12%; loss = 1.968735  (1.403691 s/it)
Iteration  1950: accuracy_at_1 = 53.12%; accuracy_at_5 = 79.69%; loss = 1.816540  (1.404758 s/it)
Iteration  1960: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 1.808986  (1.404955 s/it)
Iteration  1970: accuracy_at_1 = 48.44%; accuracy_at_5 = 70.31%; loss = 2.118655  (1.404348 s/it)
Iteration  1980: accuracy_at_1 = 39.06%; accuracy_at_5 = 67.19%; loss = 2.444932  (1.405391 s/it)
Iteration  1990: accuracy_at_1 = 42.19%; accuracy_at_5 = 68.75%; loss = 2.208375  (1.404096 s/it)
Iteration  2000: accuracy_at_1 = 48.44%; accuracy_at_5 = 81.25%; loss = 1.906739  (1.403763 s/it)
Iteration  2010: accuracy_at_1 = 48.44%; accuracy_at_5 = 76.56%; loss = 1.746211  (1.404992 s/it)
Iteration  2020: accuracy_at_1 = 53.12%; accuracy_at_5 = 79.69%; loss = 1.987584  (1.405229 s/it)
Iteration  2030: accuracy_at_1 = 43.75%; accuracy_at_5 = 73.44%; loss = 2.235677  (1.405306 s/it)
Iteration  2040: accuracy_at_1 = 42.19%; accuracy_at_5 = 68.75%; loss = 2.227754  (1.404287 s/it)
Iteration  2050: accuracy_at_1 = 37.50%; accuracy_at_5 = 76.56%; loss = 2.397095  (1.404813 s/it)
Iteration  2060: accuracy_at_1 = 32.81%; accuracy_at_5 = 65.62%; loss = 2.598984  (1.403602 s/it)
Iteration  2070: accuracy_at_1 = 43.75%; accuracy_at_5 = 76.56%; loss = 2.131418  (1.403957 s/it)
Iteration  2080: accuracy_at_1 = 54.69%; accuracy_at_5 = 76.56%; loss = 1.948519  (1.404007 s/it)
Iteration  2090: accuracy_at_1 = 43.75%; accuracy_at_5 = 75.00%; loss = 2.180091  (1.403739 s/it)
Iteration  2100: accuracy_at_1 = 39.06%; accuracy_at_5 = 70.31%; loss = 2.236216  (1.404737 s/it)
Iteration  2110: accuracy_at_1 = 43.75%; accuracy_at_5 = 71.88%; loss = 2.422786  (1.405817 s/it)
Iteration  2120: accuracy_at_1 = 31.25%; accuracy_at_5 = 65.62%; loss = 2.687217  (1.403188 s/it)
Iteration  2130: accuracy_at_1 = 60.94%; accuracy_at_5 = 81.25%; loss = 1.698021  (1.404677 s/it)
Iteration  2140: accuracy_at_1 = 48.44%; accuracy_at_5 = 81.25%; loss = 2.022845  (1.405513 s/it)
Iteration  2150: accuracy_at_1 = 45.31%; accuracy_at_5 = 73.44%; loss = 2.278137  (1.405375 s/it)
Iteration  2160: accuracy_at_1 = 43.75%; accuracy_at_5 = 76.56%; loss = 2.068619  (1.404136 s/it)
Iteration  2170: accuracy_at_1 = 48.44%; accuracy_at_5 = 78.12%; loss = 1.870632  (1.405237 s/it)
Iteration  2180: accuracy_at_1 = 45.31%; accuracy_at_5 = 79.69%; loss = 1.998481  (1.404281 s/it)
Iteration  2190: accuracy_at_1 = 34.38%; accuracy_at_5 = 67.19%; loss = 2.338656  (1.403612 s/it)
Iteration  2200: accuracy_at_1 = 40.62%; accuracy_at_5 = 71.88%; loss = 2.128125  (1.404707 s/it)
Iteration  2210: accuracy_at_1 = 46.88%; accuracy_at_5 = 84.38%; loss = 1.862810  (1.404287 s/it)
Iteration  2220: accuracy_at_1 = 46.88%; accuracy_at_5 = 65.62%; loss = 2.090920  (1.403618 s/it)
Iteration  2230: accuracy_at_1 = 39.06%; accuracy_at_5 = 75.00%; loss = 2.365324  (1.404905 s/it)
Iteration  2240: accuracy_at_1 = 37.50%; accuracy_at_5 = 84.38%; loss = 2.006102  (1.404382 s/it)
Iteration  2250: accuracy_at_1 = 39.06%; accuracy_at_5 = 79.69%; loss = 1.971331  (1.404231 s/it)
Iteration  2260: accuracy_at_1 = 40.62%; accuracy_at_5 = 75.00%; loss = 2.178358  (1.404913 s/it)
Iteration  2270: accuracy_at_1 = 37.50%; accuracy_at_5 = 60.94%; loss = 2.453802  (1.404894 s/it)
Iteration  2280: accuracy_at_1 = 59.38%; accuracy_at_5 = 84.38%; loss = 1.631491  (1.403865 s/it)
Iteration  2290: accuracy_at_1 = 42.19%; accuracy_at_5 = 75.00%; loss = 2.131373  (1.404613 s/it)
Iteration  2300: accuracy_at_1 = 39.06%; accuracy_at_5 = 67.19%; loss = 2.278789  (1.404610 s/it)
Iteration  2310: accuracy_at_1 = 57.81%; accuracy_at_5 = 84.38%; loss = 1.711811  (1.403824 s/it)
Iteration  2320: accuracy_at_1 = 54.69%; accuracy_at_5 = 79.69%; loss = 1.887903  (1.404291 s/it)
